customer_id,email,signup_date,gender,region,loyalty_tier
C00001,shaneramirez@gmail.com,26-04-25,Male,Central,Silver
C00002,jpeterson@bernard.com,11-08-24,Female,Central, gold 
C00003,howardmaurice@yahoo.com,15-05-25,male,Central, gold 
C00004,yherrera@arnold.org,14-06-25,FEMALE,Central,GOLD
C00005,janetwilliams@gmail.com,02-05-25,Male,West,bronze
C00006,wyattmichelle@yahoo.com,21-10-24,male,Central,bronze
C00007,francisco53@hotmail.com,17-10-24,FEMALE,North, gold 
C00008,amandasanchez@gray-mayo.net,29-09-24,male,Central, gold 
C00009,perezantonio@yahoo.com,08-12-24,FEMALE,South,Silver
C00010,clarksherri@hotmail.com,05-11-24,male,East,GOLD
C00011,pfoster@thomas-taylor.net,31-01-25,Other,East,Silver
C00012,zhurst@yahoo.com,29-09-24,femle,North,Silver
C00013,ddavis@hernandez.biz,22-02-25,FEMALE,West, gold 
C00014,djames@king.com,27-03-25,Other,Central, gold 
C00015,daniel62@yahoo.com,07-07-24,femle,Central,bronze
C00016,williamrodriguez@hotmail.com,29-10-24,Other,North,gld
C00017,nathanielmartin@sellers.com,,Male,West,GOLD
C00018,john39@gmail.com,08-08-24,Female,North,bronze
C00019,spenceamanda@gmail.com,24-08-24,femle,East,GOLD
C00020,josephbrennan@yahoo.com,26-09-24,FEMALE,East,GOLD
C00021,raymond57@hayes.com,19-02-25,male,South,Silver
C00022,adrianzimmerman@perez.com,02-08-24,Female,West,Silver
C00023,elizabeth38@cummings.org,05-01-25,Male,East, gold 
C00024,maguirre@davis.com,17-12-24,Female,West,Silver
C00025,dshields@hotmail.com,16-03-25,femle,North,GOLD
C00026,powellmatthew@wright.net,27-12-24,Female,North, gold 
C00027,dwhite@baxter.info,15-05-25,male,North, gold 
C00028,pearsonamber@novak.com,10-12-24,femle,North, gold 
C00029,zlewis@gmail.com,07-09-24,male,North,Silver
C00030,gallowayjoseph@yahoo.com,24-10-24,male,North, gold 
C00031,smoore@gmail.com,28-07-24,femle,Central, gold 
C00032,brian97@calhoun.net,06-08-24,FEMALE,East,GOLD
C00033,larsonemma@powell.com,15-02-25,Other,North,GOLD
C00034,barnesbrandy@stewart.com,06-10-24,femle,Central,GOLD
C00035,panderson@yahoo.com,30-12-24,Other,South,Silver
C00036,smithchristine@hotmail.com,13-08-24,male,West,bronze
C00037,williamanderson@ibarra-suarez.com,24-10-24,femle,East,GOLD
C00038,tbass@carr-archer.net,09-07-24,Female,East,GOLD
C00039,mcmillandennis@gmail.com,16-06-25,Other,South,Silver
C00040,josephjacobs@cooper.net,11-01-25,femle,East,GOLD
C00041,davisrodney@yahoo.com,23-07-24,Male,North,bronze
C00042,kellie42@ramos.com,04-08-24,Female,West,bronze
C00043,davenportbrandi@jordan.com,24-11-24,FEMALE,East,Silver
C00044,jason31@deleon-henson.biz,04-03-25,femle,Central, gold 
C00045,michellecherry@keith.com,18-04-25,FEMALE,West,bronze
